c26 86.81405827202859[nm]
x26 694.8245481878387[nm]
y26 797.4859658201398[nm]
z26 756.4441338985239[nm]
theta26 -75.48330004114537[degrees]
volume26 2652530.3117755614[nm^3]
a27 206.3318507684981[nm]
b27 72.42053119491953[nm]
c27 139.37619098170882[nm]
x27 1196.834170366125[nm]
y27 932.3525316599155[nm]
z27 756.4441338985239[nm]
theta27 -124.78063476099481[degrees]
volume27 8723789.555816397[nm^3]
a28 149.22595072034957[nm]
b28 79.69025320249717[nm]
c28 114.45810196142338[nm]
x28 1591.1296549266497[nm]
y28 967.8070123339471[nm]
z28 756.4441338985239[nm]
theta28 -92.20912759530029[degrees]
volume28 5701441.9952361705[nm^3]
a29 75.47847738397138[nm]
b29 44.534469522428786[nm]
c29 60.00647345320009[nm]
x29 647.2737091491882[nm]
y29 932.2512368476065[nm]
z29 756.4441338985239[nm]
theta29 -146.96205139766624[degrees]
volume29 844901.5906439093[nm^3]
a30 79.98575525149077[nm]
b30 45.28431947610878[nm]
c30 62.635037363799775[nm]
x30 1138.0539466308835[nm]
y30 1164.4140777606035[nm]
z30 756.4441338985239[nm]
theta30 -118.40809130832014[degrees]
volume30 950312.5084332759[nm^3]
a31 123.96726646383247[nm]
b31 80.71189440828456[nm]
c31 102.33958043605853[nm]
x31 87.5632761571798[nm]
y31 106.51516806875706[nm]
z31 1186.244309260881[nm]
theta31 -139.48743277847583[degrees]
volume31 4289205.036009743[nm^3]
a32 119.63934107150068[nm]
b32 66.55579184288196[nm]
c32 93.09756645719132[nm]
x32 350.0320312267215[nm]
y32 64.98763445666101[nm]
z32 1186.244309260881[nm]
theta32 -21.25050550713324[degrees]
volume32 3105180.1791408113[nm^3]
a33 190.05854150044047[nm]
b33 110.15122135278492[nm]
c33 150.10488142661268[nm]
x33 988.0337444360387[nm]
y33 134.7833353859146[nm]
z33 1186.244309260881[nm]
theta33 -150.27166383095857[degrees]
volume33 13163159.211463146[nm^3]
a34 155.7974592363028[nm]
b34 134.8512579645084[nm]
c34 145.32435860040562[nm]
x34 1308.0470925048676[nm]
y34 136.10910612796982[nm]
z34 1186.244309260881[nm]
theta34 -50.0694201326125[degrees]
volume34 12789171.086282635[nm^3]
a35 174.3503206243818[nm]
b35 63.64610137118345[nm]
c35 118.99821099778262[nm]
x35 595.0418658119172[nm]
y35 119.18992113589172[nm]
z35 1186.244309260881[nm]
theta35 -152.65457783667304[degrees]
volume35 5531253.949892487[nm^3]
a36 151.58597176807143[nm]
b36 89.12387579161224[nm]
c36 120.35492377984184[nm]
x36 204.7377980445956[nm]
y36 300.18218053539[nm]
z36 1186.244309260881[nm]
theta36 -86.65318135825979[degrees]
volume36 6810916.38099981[nm^3]
a37 131.1198655433453[nm]
b37 103.1742278563708[nm]
c37 117.14704669985805[nm]
x37 852.4209898945822[nm]
y37 268.93768059642724[nm]
z37 1186.244309260881[nm]
theta37 -87.29208251413381[degrees]
volume37 6638342.8143361835[nm^3]
a38 66.00191986803672[nm]
b38 48.26458131689693[nm]
c38 57.13325059246682[nm]
x38 1187.7646714868831[nm]
y38 285.23124669687735[nm]
z38 1186.244309260881[nm]
theta38 -156.70053673931747[degrees]
volume38 762364.4824180596[nm^3]
a39 68.91868131836297[nm]
b39 44.91967753348843[nm]
c39 56.919179425925705[nm]
x39 491.71620252680674[nm]
y39 370.8576234255242[nm]
z39 1186.244309260881[nm]
theta39 -155.7387091475222[degrees]
volume39 738109.5573613428[nm^3]
a40 339.90193128515403[nm]
b40 161.10387959438413[nm]
c40 250.50290543976908[nm]
x40 1418.9883893350807[nm]
y40 680.6224422354744[nm]
z40 1186.244309260881[nm]
theta40 -61.800277067933784[degrees]
volume40 57459389.560136884[nm^3]
a41 192.1974358172265[nm]
b41 109.47460656398836[nm]
c41 150.83602119060743[nm]
x41 1111.957586630919[nm]
y41 527.7380208438326[nm]
z41 1186.244309260881[nm]
theta41 -154.79185567333067[degrees]
volume41 13293968.933847168[nm^3]
a42 56.38251656750593[nm]
b42 52.054659008328294[nm]
c42 54.218587787917116[nm]
x42 97.47255701944097[nm]
y42 430.8471960814113[nm]
z42 1186.244309260881[nm]
theta42 -148.80490241212433[degrees]
volume42 666562.4934898585[nm^3]
