x30 1597.229072972581[nm]
y30 966.7691861308574[nm]
z30 613.2532060215912[nm]
theta30 -58.234413576138266[degrees]
a31 223.38078269592663[nm]
b31 64.1577662314756[nm]
c31 143.76927446370112[nm]
x31 1307.4782824416052[nm]
y31 1170.393974259721[nm]
z31 964.6329339923324[nm]
theta31 -24.33124191693506[degrees]
a32 215.46809899325092[nm]
b32 125.21498467761052[nm]
c32 170.34154183543072[nm]
x32 474.1197588897193[nm]
y32 191.32261421656622[nm]
z32 964.6329339923324[nm]
theta32 -51.670952674253876[degrees]
a33 102.42765517094033[nm]
b33 56.70626316318866[nm]
c33 79.5669591670645[nm]
x33 59.70779946183811[nm]
y33 240.06974733590437[nm]
z33 964.6329339923324[nm]
theta33 -108.90457584261165[degrees]
a34 140.84425969793108[nm]
b34 94.80701594160583[nm]
c34 117.82563781976845[nm]
x34 213.28322448506398[nm]
y34 277.467248908297[nm]
z34 964.6329339923324[nm]
theta34 -50.60927444644581[degrees]
a35 157.51466622497483[nm]
b35 80.15813722723544[nm]
c35 118.83640172610514[nm]
x35 530.2187199984792[nm]
y35 448.37979905516005[nm]
z35 964.6329339923324[nm]
theta35 -130.6711249328096[degrees]
a36 170.96202255724597[nm]
b36 93.1266147332835[nm]
c36 132.04431864526475[nm]
x36 1002.8559276569214[nm]
y36 110.18786581151555[nm]
z36 964.6329339923324[nm]
theta36 -2.5217596524536074[degrees]
a37 232.96911895039875[nm]
b37 104.74302787003776[nm]
c37 168.85607341021824[nm]
x37 1351.1030476214455[nm]
y37 359.49407721648055[nm]
z37 964.6329339923324[nm]
theta37 -164.35356188433704[degrees]
a38 161.32490932447112[nm]
b38 104.24557144150363[nm]
c38 132.78524038298738[nm]
x38 879.1108326185548[nm]
y38 433.1239503027751[nm]
z38 964.6329339923324[nm]
theta38 -105.10350645777817[degrees]
a39 111.45261473676882[nm]
b39 56.833867504994075[nm]
c39 84.14324112088144[nm]
x39 403.1170270152061[nm]
y39 606.7472408916622[nm]
z39 964.6329339923324[nm]
theta39 -151.8070877357302[degrees]
a40 248.95938172505805[nm]
b40 125.23374652191191[nm]
c40 187.096564123485[nm]
x40 1476.8228329501965[nm]
y40 783.4233048457241[nm]
z40 964.6329339923324[nm]
theta40 -113.23870423837512[degrees]
a41 185.75482634224318[nm]
b41 100.66152871296889[nm]
c41 143.20817752760604[nm]
x41 684.185643720754[nm]
y41 866.2352770643703[nm]
z41 964.6329339923324[nm]
theta41 -176.44920608966152[degrees]
a42 168.12121441482188[nm]
b42 140.18241028230673[nm]
c42 154.1518123485643[nm]
x42 1129.6986632759758[nm]
y42 995.281936191375[nm]
z42 964.6329339923324[nm]
theta42 -169.84351797708516[degrees]
a43 175.32177325060945[nm]
b43 104.59338420783868[nm]
c43 139.95757872922405[nm]
x43 931.0509534018778[nm]
y43 1127.2377670978424[nm]
