y30 966.7691861308574[nm]
z30 539.4762920942262[nm]
theta30 -58.234413576138266[degrees]
a31 92.58895814054318[nm]
b31 47.63166952494828[nm]
c31 70.11031383274573[nm]
x31 1129.8063730534404[nm]
y31 1160.727515949784[nm]
z31 927.74447702865[nm]
theta31 -149.88152970314056[degrees]
a32 143.82232710747797[nm]
b32 125.48363639369234[nm]
c32 134.65298175058516[nm]
x32 887.4482178418156[nm]
y32 128.35798643280833[nm]
z32 927.74447702865[nm]
theta32 -127.75130164242617[degrees]
a33 178.3954247141215[nm]
b33 123.84638789191955[nm]
c33 151.12090630302052[nm]
x33 274.6185102278307[nm]
y33 225.19127647811584[nm]
z33 927.74447702865[nm]
theta33 -102.89875110416445[degrees]
a34 186.1964568037603[nm]
b34 117.18314611302677[nm]
c34 151.68980145839353[nm]
x34 531.7295469346958[nm]
y34 395.76119777246083[nm]
z34 927.74447702865[nm]
theta34 -176.4576388078063[degrees]
a35 146.59579850207282[nm]
b35 134.08904925547537[nm]
c35 140.3424238787741[nm]
x35 895.5926809071046[nm]
y35 125.20427811754845[nm]
z35 927.74447702865[nm]
theta35 -125.41705527646744[degrees]
a36 250.19571006598363[nm]
b36 161.64074741245867[nm]
c36 205.91822873922115[nm]
x36 1526.474010346592[nm]
y36 353.5337590722177[nm]
z36 927.74447702865[nm]
theta36 -121.32869286780416[degrees]
a37 275.3855185091013[nm]
b37 172.58452366523363[nm]
c37 223.98502108716747[nm]
x37 999.5743281868345[nm]
y37 424.4919539440272[nm]
z37 927.74447702865[nm]
theta37 -51.78589647303888[degrees]
a38 171.36751706928675[nm]
b38 94.22701171150217[nm]
c38 132.79726439039445[nm]
x38 1249.0590940578031[nm]
y38 718.6922821529141[nm]
z38 927.74447702865[nm]
theta38 -69.59979060515747[degrees]
a39 158.96229391191767[nm]
b39 88.63926387864245[nm]
c39 123.80077889528006[nm]
x39 981.0207920417104[nm]
y39 790.0963225733151[nm]
z39 927.74447702865[nm]
theta39 -23.28235621348973[degrees]
a40 206.3318507684981[nm]
b40 72.42053119491953[nm]
c40 139.37619098170882[nm]
x40 1196.834170366125[nm]
y40 932.3525316599155[nm]
z40 927.74447702865[nm]
theta40 -124.78063476099481[degrees]
a41 79.98575525149077[nm]
b41 45.28431947610878[nm]
c41 62.635037363799775[nm]
x41 1138.0539466308835[nm]
y41 1164.4140777606035[nm]
z41 927.74447702865[nm]
theta41 -118.40809130832014[degrees]
a42 76.00322319852704[nm]
b42 57.83102896670434[nm]
c42 66.91712608261568[nm]
x42 1639.8706172286322[nm]
y42 638.2556663306076[nm]
z42 927.74447702865[nm]
theta42 -117.75854060106002[degrees]
a43 51.344595849096336[nm]
b43 46.07934944524721[nm]
c43 48.71197264717178[nm]
x43 483.98605187480035[nm]
y43 649.4477709395535[nm]
z43 927.74447702865[nm]
theta43 -141.6486451832689[degrees]
a44 149.22595072034957[nm]
b44 80.13248681809766[nm]
c44 114.67921876922361[nm]
x44 1593.300358319307[nm]
y44 972.3350646936732[nm]
z44 927.74447702865[nm]
theta44 -92.20912759530029[degrees]
a45 85.85097101315534[nm]
b45 49.56542288474494[nm]
c45 67.70819694895015[nm]
x45 496.4116174512939[nm]
y45 1133.0045796669485[nm]
z45 927.74447702865[nm]
theta45 -90.88594659385424[degrees]
*****************
total_particles 45
total_volume_ellipsoids 449701012.68787384[nm^3]
x_length_prism 1817.9594305919986[nm]
y_length_prism 1454.548913701378[nm]
z_length_prism 1152.7294981158175[nm]
x_position_prism -52.63010653047917[nm]
y_position_prism -175.2688086714466[nm]
volume_fraction 0.14753122248346967
