a31 123.51639614086699[nm]
b31 80.23439863349911[nm]
c31 146.2858468891542[nm]
x31 1554.1313185448557[nm]
y31 658.0014204607348[nm]
z31 517.551539400979[nm]
theta31 -115.09461189548601[degrees]
a32 172.5737461551135[nm]
b32 136.5587376351174[nm]
c32 154.56624189511547[nm]
x32 1364.3481416773225[nm]
y32 810.4160600267555[nm]
z32 520.2188089629966[nm]
theta32 -137.59784533583448[degrees]
a33 183.60432725245082[nm]
b33 103.78157994769504[nm]
c33 143.69295360007294[nm]
x33 358.90591760361036[nm]
y33 580.9711969241743[nm]
z33 519.5509312310057[nm]
theta33 -93.86918457636541[degrees]
a34 168.10025108893845[nm]
b34 90.00700453942589[nm]
c34 129.05362781418216[nm]
x34 1597.229072972581[nm]
y34 966.7691861308574[nm]
z34 502.5399441509002[nm]
theta34 -58.234413576138266[degrees]
a35 66.6381083269946[nm]
b35 42.92263473549655[nm]
c35 100[nm]
x35 1181.6658785381342[nm]
y35 951.8036884415322[nm]
z35 514.8766219223373[nm]
theta35 -52.8257451664089[degrees]
a36 123.1913323389253[nm]
b36 68.51890986002611[nm]
c36 101.81321524459312[nm]
x36 369.11412241887905[nm]
y36 67.14799304677624[nm]
z36 481.5873266991787[nm]
theta36 -172.22610785012932[degrees]
a37 142.59875046367208[nm]
b37 52.879345996202886[nm]
c37 97.73904822993748[nm]
x37 608.8475266426008[nm]
y37 92.843688280302[nm]
z37 534.5286069471283[nm]
theta37 -24.179107146689176[degrees]
a38 132.88720353330453[nm]
b38 36.84605102621835[nm]
c38 96.71178815719526[nm]
x38 191.63600426346935[nm]
y38 312.30117082055455[nm]
z38 480.74037520077206[nm]
theta38 -82.10665571775112[degrees]
a39 57.93759189891977[nm]
b39 34.61173508294868[nm]
c39 100[nm]
x39 265.83195565496453[nm]
y39 299.94651366332783[nm]
z39 568.8994441876812[nm]
theta39 -93.07333251107335[degrees]
a40 224.4727378102044[nm]
b40 128.3381973462805[nm]
c40 183.64168260311894[nm]
x40 590.8097600900303[nm]
y40 143.6509966409194[nm]
z40 866.0134406210447[nm]
theta40 -158.0978596407897[degrees]
a41 167.95575111230593[nm]
b41 116.71643778910794[nm]
c41 151.18331973463887[nm]
x41 274.6185102278307[nm]
y41 225.19127647811584[nm]
z41 858.699607937972[nm]
theta41 -102.89875110416445[degrees]
a42 175.3002679695411[nm]
b42 108.93256994796495[nm]
c42 150.94998981037685[nm]
x42 531.7295469346958[nm]
y42 395.76119777246083[nm]
z42 884.4571683409602[nm]
theta42 -176.4576388078063[degrees]
a43 140.81933912385512[nm]
b43 100.25327740563792[nm]
c43 125.48075050274936[nm]
x43 895.5926809071046[nm]
y43 125.20427811754845[nm]
z43 902.856918442189[nm]
theta43 -125.41705527646744[degrees]
a44 131.9603819328522[nm]
b44 72.98004481592754[nm]
c44 133.0707427662995[nm]
x44 1249.0590940578031[nm]
y44 718.6922821529141[nm]
z44 876.0925215227076[nm]
theta44 -69.59979060515747[degrees]
a45 158.96229391191767[nm]
b45 74.13584439336549[nm]
c45 116.54906915264158[nm]
x45 981.0207920417104[nm]
y45 790.0963225733151[nm]
z45 810.48559143295[nm]
theta45 -23.28235621348973[degrees]
a46 158.88442744557406[nm]
b46 57.83935858005879[nm]
c46 140.72184604605957[nm]
x46 1196.834170366125[nm]
y46 932.3525316599155[nm]
z46 854.6632181446582[nm]
theta46 -124.78063476099481[degrees]
a47 76.00322319852704[nm]
b47 55.62212664640018[nm]
c47 100[nm]
x47 1639.8706172286322[nm]
y47 638.2556663306076[nm]
z47 805.0462054688913[nm]
theta47 -117.75854060106002[degrees]
a48 51.344595849096336[nm]
b48 43.466554655726775[nm]
c48 100[nm]
x48 483.98605187480035[nm]
y48 649.4477709395535[nm]
z48 873.6779349668409[nm]
theta48 -141.6486451832689[degrees]
a49 149.74460728754212[nm]
b49 37.93199499141202[nm]
c49 93.83830113947707[nm]
x49 680.7042163387699[nm]
y49 843.5072771154831[nm]
z49 850.552863535482[nm]
theta49 -72.63587563186496[degrees]
a50 149.22595072034957[nm]
b50 79.26407930056513[nm]
c50 114.24501501045735[nm]
x50 1593.300358319307[nm]
y50 972.3350646936732[nm]
z50 904.157024188269[nm]
theta50 -92.20912759530029[degrees]
a51 35.09270806884664[nm]
b51 25.970850603237505[nm]
c51 100[nm]
x51 576.4723832773878[nm]
