a1 123.96726646383247[nm]
b1 81.9253493320857[nm]
c1 102.94630789795909[nm]
x1 87.49943038378461[nm]
y1 106.50273871476355[nm]
z1 196.27562743416684[nm]
theta1 -139.48743277847583[degrees]
a2 170.16668275396214[nm]
b2 94.3951374836566[nm]
c2 147.74406152044696[nm]
x2 982.3306783109031[nm]
y2 136.6318612002067[nm]
z2 152.8887850388751[nm]
theta2 -150.27166383095857[degrees]
a3 138.09651091886911[nm]
b3 112.78692946389248[nm]
c3 141.5206014837699[nm]
x3 1308.1000479831878[nm]
y3 135.67944801112725[nm]
z3 165.79188396029005[nm]
theta3 -50.0694201326125[degrees]
a4 76.34506657937679[nm]
b4 33.6981110878934[nm]
c4 100[nm]
x4 1634.3179951335183[nm]
y4 32.96653906358973[nm]
z4 141.971542141366[nm]
theta4 -149.71965971749324[degrees]
a5 56.661568524944876[nm]
b5 37.691081448727076[nm]
c5 100[nm]
x5 364.45380756439886[nm]
y5 191.7070627360352[nm]
z5 113.58877606301952[nm]
theta5 -70.23283132320836[degrees]
a6 152.2257328431097[nm]
b6 68.40974264538572[nm]
c6 123.21347515256554[nm]
x6 873.3272361127214[nm]
y6 301.4242592091647[nm]
z6 125.7946533762612[nm]
theta6 -109.14226819146627[degrees]
a7 62.37180474994612[nm]
b7 46.915736439220964[nm]
c7 100[nm]
x7 1179.7277222469813[nm]
y7 288.47435326075424[nm]
z7 174.9495806520547[nm]
theta7 -35.78897345918333[degrees]
a8 71.7155496136407[nm]
b8 67.16487685467686[nm]
c8 100[nm]
x8 488.3303968285749[nm]
y8 372.318103551836[nm]
z8 195.5118776561589[nm]
theta8 -31.63066141213117[degrees]
a9 117.28481865895743[nm]
b9 58.16808419964625[nm]
c9 125.96896376406386[nm]
x9 1486.0723239635392[nm]
y9 487.13784057513817[nm]
z9 139.17957431186016[nm]
theta9 -5.276202086531967[degrees]
a10 123.51639614086699[nm]
b10 80.23439863349911[nm]
c10 146.2858468891542[nm]
x10 1554.1313185448557[nm]
y10 658.0014204607348[nm]
z10 166.02392152761178[nm]
theta10 -115.09461189548601[degrees]
a11 172.5737461551135[nm]
b11 136.5587376351174[nm]
c11 154.56624189511547[nm]
x11 1364.3481416773225[nm]
y11 810.4160600267555[nm]
z11 154.69246280237505[nm]
theta11 -137.59784533583448[degrees]
a12 168.10025108893845[nm]
b12 90.00700453942589[nm]
c12 129.05362781418216[nm]
x12 1597.229072972581[nm]
y12 966.7691861308574[nm]
z12 156.64797157736183[nm]
theta12 -58.234413576138266[degrees]
a13 66.6381083269946[nm]
b13 42.92263473549655[nm]
c13 100[nm]
x13 1181.6658785381342[nm]
y13 951.8036884415322[nm]
z13 124.31349170823219[nm]
theta13 -52.8257451664089[degrees]
a14 123.1913323389253[nm]
b14 68.51890986002611[nm]
c14 101.81321524459312[nm]
x14 369.11412241887905[nm]
y14 67.14799304677624[nm]
z14 140.9366382879275[nm]
theta14 -172.22610785012932[degrees]
a15 132.88720353330453[nm]
b15 36.84605102621835[nm]
c15 96.71178815719526[nm]
x15 191.63600426346935[nm]
y15 312.30117082055455[nm]
z15 140.16000576947704[nm]
theta15 -82.10665571775112[degrees]
a16 224.4727378102044[nm]
b16 128.3381973462805[nm]
c16 183.64168260311894[nm]
x16 590.8097600900303[nm]
y16 143.6509966409194[nm]
z16 502.8133743621788[nm]
theta16 -158.0978596407897[degrees]
a17 167.95575111230593[nm]
b17 116.71643778910794[nm]
c17 151.18331973463887[nm]
x17 274.6185102278307[nm]
y17 225.19127647811584[nm]
z17 487.25645700983614[nm]
theta17 -102.89875110416445[degrees]
a18 175.3002679695411[nm]
b18 108.93256994796495[nm]
c18 150.94998981037685[nm]
x18 531.7295469346958[nm]
y18 395.76119777246083[nm]
z18 514.0136341467469[nm]
theta18 -176.4576388078063[degrees]
a19 131.9603819328522[nm]
b19 72.98004481592754[nm]
c19 133.0707427662995[nm]
x19 1249.0590940578031[nm]
y19 718.6922821529141[nm]
z19 542.041675141211[nm]
theta19 -69.59979060515747[degrees]
a20 158.96229391191767[nm]
b20 74.13584439336549[nm]
c20 116.54906915264158[nm]
x20 981.0207920417104[nm]
y20 790.0963225733151[nm]
z20 436.9117131269753[nm]
theta20 -23.28235621348973[degrees]
a21 158.88442744557406[nm]
b21 57.83935858005879[nm]
c21 140.72184604605957[nm]
x21 1196.834170366125[nm]
y21 932.3525316599155[nm]
z21 541.4447756504265[nm]
theta21 -124.78063476099481[degrees]
a22 76.00322319852704[nm]
b22 55.62212664640018[nm]
c22 100[nm]
x22 1639.8706172286322[nm]
y22 638.2556663306076[nm]
z22 572.8624129252428[nm]
theta22 -117.75854060106002[degrees]
a23 51.344595849096336[nm]
b23 43.466554655726775[nm]
c23 100[nm]
x23 483.98605187480035[nm]
y23 649.4477709395535[nm]
z23 556.2684609058775[nm]
theta23 -141.6486451832689[degrees]
a24 149.74460728754212[nm]
b24 37.93199499141202[nm]
c24 93.83830113947707[nm]
x24 680.7042163387699[nm]
y24 843.5072771154831[nm]
z24 585.6714651442397[nm]
theta24 -72.63587563186496[degrees]
a25 149.22595072034957[nm]
b25 79.26407930056513[nm]
c25 114.24501501045735[nm]
x25 1593.300358319307[nm]
y25 972.3350646936732[nm]
z25 444.94926867389654[nm]
theta25 -92.20912759530029[degrees]
a26 35.09270806884664[nm]
b26 25.970850603237505[nm]
c26 100[nm]
x26 576.4723832773878[nm]
y26 889.6486333318803[nm]
z26 552.0374659436643[nm]
theta26 -23.008870082822874[degrees]
a27 65.79245781757825[nm]
b27 34.61806193640469[nm]
c27 100[nm]
x27 815.4137448836901[nm]
y27 967.3525839278971[nm]
z27 424.638303088538[nm]
theta27 -145.13425128739567[degrees]
a28 85.85097101315534[nm]
b28 49.56542288474494[nm]
c28 100[nm]
x28 496.4116174512939[nm]
y28 1133.0045796669485[nm]
z28 584.4726761187485[nm]
theta28 -90.88594659385424[degrees]
a29 92.58895814054318[nm]
b29 38.4752260324396[nm]
c29 100[nm]
x29 1129.8063730534404[nm]
y29 1160.727515949784[nm]
z29 550.7997639492014[nm]
theta29 -149.88152970314056[degrees]
a30 137.38343542419705[nm]
b30 62.95796051354688[nm]
c30 104.27973562879151[nm]
x30 1482.261022084031[nm]
y30 232.74899053139555[nm]
z30 455.7232853109652[nm]
theta30 -87.87234276751322[degrees]
a31 143.49323408986047[nm]
b31 81.84910107205081[nm]
c31 117.2929789505951[nm]
x31 1471.3678960807881[nm]
y31 459.93789484039576[nm]
z31 554.6666456682266[nm]
theta31 -21.54928447119382[degrees]
a32 79.30729349086249[nm]
b32 37.87000612527365[nm]
c32 100[nm]
x32 1659.4207368958475[nm]
y32 445.764550714772[nm]
z32 508.12381834666735[nm]
theta32 -83.27148790623133[degrees]
a33 90.31425162236573[nm]
b33 48.06438570744717[nm]
c33 100[nm]
x33 1082.094851442995[nm]
y33 278.74357570781257[nm]
z33 475.85840953297617[nm]
theta33 -84.03166780248307[degrees]
a34 203.72403360026772[nm]
b34 126.01943382890359[nm]
c34 178.67535268441964[nm]
x34 965.6452621735604[nm]
y34 481.7212358416369[nm]
z34 506.4627718694299[nm]
theta34 -3.5620086397006583[degrees]
a35 94.51457537167768[nm]
b35 52.54953020151778[nm]
c35 79.68840485415728[nm]
x35 59.70779946183811[nm]
y35 240.06974733590437[nm]
z35 937.1170064253045[nm]
theta35 -108.90457584261165[degrees]
a36 138.22243104308092[nm]
b36 64.98388101432118[nm]
c36 115.78429845642631[nm]
x36 530.2187199984792[nm]
y36 448.37979905516005[nm]
z36 855.1084239893977[nm]
theta36 -130.6711249328096[degrees]
a37 170.96202255724597[nm]
b37 93.0056498527612[nm]
c37 131.98383620500357[nm]
x37 1002.8559276569214[nm]
y37 110.18786581151555[nm]
z37 914.0169330407598[nm]
theta37 -2.5217596524536074[degrees]
a38 161.32490932447112[nm]
b38 108.73978204373621[nm]
c38 135.03234568410366[nm]
x38 879.1108326185548[nm]
y38 433.1239503027751[nm]
z38 912.1859210997236[nm]
theta38 -105.10350645777817[degrees]
a39 67.29301531316702[nm]
b39 34.98934198844109[nm]
c39 100[nm]
x39 735.1671649257376[nm]
y39 615.4194309127074[nm]
z39 855.6246306912949[nm]
theta39 -166.6947634939089[degrees]
a40 28.556111150907174[nm]
b40 17.27931344227136[nm]
c40 100[nm]
x40 46.64090739125016[nm]
y40 669.1237691636545[nm]
z40 923.3644000442497[nm]
theta40 -12.528807709151511[degrees]
a41 89.11342132236088[nm]
b41 68.61203715818327[nm]
c41 89.86990302608945[nm]
x41 1084.5440494590418[nm]
y41 800.4705174323974[nm]
z41 779.671007994601[nm]
theta41 -154.9981883271618[degrees]
a42 185.75482634224318[nm]
b42 101.07496467776365[nm]
c42 143.41489551000342[nm]
x42 684.185643720754[nm]
y42 866.2352770643703[nm]
z42 855.6779070278534[nm]
theta42 -176.44920608966152[degrees]
a43 144.59405504990696[nm]
b43 119.06563316137249[nm]
c43 153.28011569705995[nm]
x43 1129.6986632759758[nm]
y43 995.281936191375[nm]
z43 845.1213864586314[nm]
theta43 -169.84351797708516[degrees]
a44 171.83286996292233[nm]
b44 100.71852790318458[nm]
c44 139.0426476207055[nm]
x44 931.0509534018778[nm]
y44 1127.2377670978424[nm]
z44 896.5127708402647[nm]
theta44 -147.9946167919165[degrees]
a45 42.30236602731724[nm]
b45 16.10643780814274[nm]
c45 100[nm]
x45 19.211246644874965[nm]
y45 943.394722155784[nm]
z45 944.2314529663051[nm]
theta45 -105.78075330951539[degrees]
a46 178.62191202086638[nm]
b46 86.16965528385154[nm]
c46 132.39578365235894[nm]
x46 1562.5046065853287[nm]
y46 1172.1929311641024[nm]
z46 835.108898411831[nm]
theta46 -41.78676775828062[degrees]
a47 94.78739539097947[nm]
b47 41.755003339251616[nm]
c47 100[nm]
x47 115.57719879369161[nm]
y47 43.55366589212439[nm]
z47 921.9826951301746[nm]
theta47 -12.673860005623133[degrees]
a48 247.212512137026[nm]
b48 115.98745412183989[nm]
c48 181.59998312943296[nm]
x48 1481.9500998365215[nm]
y48 778.7019442483909[nm]
z48 868.0551400947306[nm]
theta48 -115.32666435424083[degrees]
a49 100.56228479109764[nm]
b49 34.64350288683785[nm]
c49 67.60289383896774[nm]
x49 1231.8214334514882[nm]
y49 1219.2929999276603[nm]
z49 976.3372353565743[nm]
theta49 -24.986433204779875[degrees]
*****************
total_particles 49
total_volume_ellipsoids 278182399.4949562[nm^3]
x_length_prism 1801.7971601415672[nm]
y_length_prism 1431.6365843542537[nm]
z_length_prism 1049.6552232241636[nm]
x_position_prism -36.46783608004786[nm]
y_position_prism -80.82174116928499[nm]
volume_fraction 0.10274111903116194
number_particles_within_10nm_of_electrode 8
average_particle_electrode_distance 3.135312169324985[nm]
