y30 4272.132749953454[nm]
z30 363.63991024448035[nm]
theta30 -60.554571270074405[degrees]
a31 341.06422598496346[nm]
b31 235.06616931546293[nm]
c31 288.0651976502132[nm]
x31 10043.50122682661[nm]
y31 4442.475463467829[nm]
z31 431.0651976502132[nm]
theta31 -58.26648084658371[degrees]
a32 304.8496648022911[nm]
b32 183.62873821756483[nm]
c32 298.61490382687134[nm]
x32 11392.255259329488[nm]
y32 4426.728999460582[nm]
z32 568.6149038268713[nm]
theta32 -145.00797980144134[degrees]
a33 569.8666291859249[nm]
b33 344.5488998804582[nm]
c33 457.20776453319155[nm]
x33 13386.501772281299[nm]
y33 4693.400891140816[nm]
z33 527.2077645331915[nm]
theta33 -129.01940047523655[degrees]
a34 265.7729439556288[nm]
b34 154.88227104611764[nm]
c34 273.13743216421375[nm]
x34 7987.317743042935[nm]
y34 4397.915909366291[nm]
z34 655.1374321642138[nm]
theta34 -32.811366798068114[degrees]
a35 460.7670162157184[nm]
b35 350.4469933115904[nm]
c35 495.9085026900592[nm]
x35 10839.381899477581[nm]
y35 4752.794541810978[nm]
z35 496.9085026900592[nm]
theta35 -64.30300027266756[degrees]
a36 256.7485505166739[nm]
b36 232.3546756522813[nm]
c36 244.5516130844776[nm]
x36 14806.89671779806[nm]
y36 4675.945770221783[nm]
z36 416.5516130844776[nm]
theta36 -48.01278750418334[degrees]
a37 321.4275308614855[nm]
b37 225.70777774003847[nm]
c37 273.567654300762[nm]
x37 9764.751637060888[nm]
y37 5057.794580514453[nm]
z37 561.567654300762[nm]
theta37 -85.91438322002513[degrees]
a38 240.48830537440253[nm]
b38 193.90665337222197[nm]
c38 250[nm]
x38 12624.107807203683[nm]
y38 5058.4231267396035[nm]
z38 336[nm]
theta38 -144.03948280335513[degrees]
a39 236.6719999683587[nm]
b39 149.6358456787226[nm]
c39 250[nm]
x39 3949.8396494873305[nm]
y39 5179.186051763856[nm]
z39 339[nm]
theta39 -127.79394299861673[degrees]
a40 343.02340223956213[nm]
b40 278.3120683073915[nm]
c40 310.6677352734768[nm]
x40 6113.541320942582[nm]
y40 5656.488549618321[nm]
z40 347.6677352734768[nm]
theta40 -42.74542503406497[degrees]
a41 250[nm]
b41 250[nm]
c41 250.0[nm]
x41 8584.601020896278[nm]
y41 6946.104063170789[nm]
z41 688.0[nm]
theta41 0[degrees]
a42 250[nm]
b42 250[nm]
c42 250.0[nm]
x42 8891.852929293225[nm]
y42 6486.180399048652[nm]
z42 305.0[nm]
theta42 0[degrees]
a43 263.1374221853921[nm]
b43 220.51689810159223[nm]
c43 241.82716014349216[nm]
x43 10326.864997265226[nm]
y43 5613.398016694015[nm]
z43 490.82716014349216[nm]
theta43 -23.962488974578182[degrees]
a44 268.29101940137366[nm]
b44 238.48090613455432[nm]
c44 253.38596276796397[nm]
x44 2619.7960100070563[nm]
y44 5695.447644706738[nm]
z44 702.385962767964[nm]
theta44 -39.8055710922652[degrees]
a45 609.8395837678878[nm]
b45 213.53588901831094[nm]
c45 411.6877363930994[nm]
x45 12071.653184459383[nm]
y45 5993.414606357526[nm]
z45 480.6877363930994[nm]
theta45 -118.81079374297306[degrees]
a46 505.9087957073233[nm]
b46 294.78401701755155[nm]
c46 400.3464063624374[nm]
x46 3686.4367037490556[nm]
y46 6069.7313915014465[nm]
z46 531.3464063624374[nm]
theta46 -131.02326902492243[degrees]
a47 481.718100088544[nm]
b47 337.43566572977625[nm]
c47 409.57688290916013[nm]
x47 2369.673042565685[nm]
y47 6419.947277020527[nm]
z47 566.5768829091601[nm]
theta47 -127.59627114721198[degrees]
a48 403.2653599769198[nm]
b48 234.12837927030523[nm]
c48 430.8458952964778[nm]
x48 7621.630441116486[nm]
y48 6641.023250393334[nm]
z48 507.8458952964778[nm]
theta48 -33.578813725000714[degrees]
a49 250[nm]
b49 250[nm]
c49 250.0[nm]
x49 11278.415215362978[nm]
y49 7533.491502104673[nm]
z49 623.0[nm]
theta49 0[degrees]
a50 219.0254463420393[nm]
b50 75.76119557740157[nm]
c50 250[nm]
x50 12147.34953316505[nm]
y50 6975.487363523007[nm]
z50 413[nm]
theta50 -131.4677054161091[degrees]
a51 402.38481286851436[nm]
b51 241.6341768574196[nm]
c51 435.3242291712879[nm]
x51 7650.472045849088[nm]
y51 7302.335259565765[nm]
z51 547.3242291712879[nm]
theta51 -120.34324888423957[degrees]
a52 331.38036749844645[nm]
b52 273.13420859259304[nm]
c52 302.2572880455198[nm]
x52 14904.653351458748[nm]
y52 7339.788769214682[nm]
z52 549.2572880455198[nm]
theta52 -57.225122675735754[degrees]
a53 311.0394310210586[nm]
b53 222.06394210364667[nm]
c53 266.55168656235264[nm]
x53 6945.260546966879[nm]
y53 7651.463638890671[nm]
z53 281.55168656235264[nm]
theta53 -60.60394714505674[degrees]
a54 506.8725282758482[nm]
b54 387.0236535819349[nm]
c54 446.9480909288916[nm]
x54 12569.404152350904[nm]
y54 7971.136749508697[nm]
z54 508.9480909288916[nm]
theta54 -52.95752522691714[degrees]
a55 365.29728592382895[nm]
b55 295.67221995212697[nm]
c55 330.484752937978[nm]
x55 9911.725996005141[nm]
y55 7911.818899710451[nm]
z55 368.484752937978[nm]
theta55 -169.15969454566942[degrees]
a56 771.2662955289577[nm]
b56 211.13460589220352[nm]
c56 491.20045071058064[nm]
x56 7945.909736689069[nm]
y56 8333.213100031653[nm]
z56 492.20045071058064[nm]
theta56 -40.78582147726596[degrees]
a57 232.27758432613595[nm]
b57 167.60101025340853[nm]
c57 242.00785592840617[nm]
x57 6145.953305655998[nm]
y57 8025.824739966967[nm]
z57 694.0078559284061[nm]
theta57 -41.69813432556499[degrees]
a58 464.6623262575087[nm]
b58 292.20293199119396[nm]
c58 378.43262912435137[nm]
x58 11674.529028643463[nm]
y58 8088.465578822047[nm]
z58 444.43262912435137[nm]
theta58 -24.24920441040138[degrees]
a59 238.75824444195925[nm]
b59 193.28048359587174[nm]
c59 261.47127570158705[nm]
x59 6251.722777790668[nm]
y59 8399.638042646002[nm]
z59 570.471275701587[nm]
theta59 -56.309932474020215[degrees]
a60 482.4433520143094[nm]
b60 408.41478166092935[nm]
c60 445.4290668376194[nm]
x60 8912.094878364458[nm]
y60 8854.816556168944[nm]
z60 512.4290668376194[nm]
theta60 -36.96055544916336[degrees]
a61 194.61906540430476[nm]
b61 154.04913031000433[nm]
c61 250[nm]
x61 4775.8390888161875[nm]
y61 8816.454622561492[nm]
z61 534[nm]
theta61 -48.179830119864235[degrees]
a62 259.65421910984657[nm]
b62 189.5375422585517[nm]
c62 224.59588068419913[nm]
x62 6755.9714356069935[nm]
y62 8841.66461462694[nm]
z62 232.59588068419913[nm]
theta62 -155.6954507340633[degrees]
a63 444.2262768276802[nm]
b63 284.8566130846609[nm]
c63 364.54144495617055[nm]
x63 6140.788701053868[nm]
y63 9474.549556510185[nm]
z63 484.54144495617055[nm]
theta63 -72.49913873104715[degrees]
a64 545.2808064272331[nm]
b64 396.81809430145324[nm]
c64 471.04945036434316[nm]
x64 13057.634784273374[nm]
y64 9546.770681279764[nm]
z64 517.0494503643431[nm]
theta64 -43.86557836902299[degrees]
a65 250[nm]
b65 250[nm]
c65 250.0[nm]
x65 1171.8142103806167[nm]
y65 10012.94236542818[nm]
z65 531.0[nm]
theta65 0[degrees]
a66 250[nm]
b66 250[nm]
c66 250.0[nm]
x66 1662.272225647792[nm]
y66 9743.858395962532[nm]
z66 278.0[nm]
theta66 0[degrees]
a67 210.78933238906987[nm]
b67 188.53571046150333[nm]
c67 250[nm]
x67 11887.80066253781[nm]
y67 9415.72807143886[nm]
z67 616[nm]
theta67 -58.324531261890776[degrees]
a68 474.26639899264325[nm]
b68 369.4609172619866[nm]
c68 421.8636581273149[nm]
x68 4293.078308602797[nm]
y68 9832.761529004776[nm]
z68 485.8636581273149[nm]
theta68 -33.17851165939275[degrees]
a69 422.0276488600096[nm]
b69 249.58446907285216[nm]
c69 335.8060589664309[nm]
x69 15376.417086243302[nm]
y69 9881.192139028748[nm]
z69 476.8060589664309[nm]
theta69 -114.0151021641178[degrees]
a70 201.67702005531154[nm]
b70 174.23988107653935[nm]
c70 250[nm]
x70 4946.5965601343005[nm]
y70 10064.901333502265[nm]
z70 412[nm]
theta70 -150.52411099675425[degrees]
a71 421.45770272562424[nm]
b71 345.14032804971913[nm]
c71 383.2990153876717[nm]
x71 3474.9945025602365[nm]
y71 10765.039424496592[nm]
z71 434.2990153876717[nm]
theta71 -51.98848972998347[degrees]
a72 318.9707239049798[nm]
b72 289.9256338142434[nm]
c72 304.44817885961163[nm]
x72 7267.945171287726[nm]
y72 10946.627285396344[nm]
z72 562.4481788596116[nm]
theta72 -158.96248897457818[degrees]
a73 377.677369085463[nm]
b73 271.64106863192256[nm]
c73 334.5970869378334[nm]
x73 4201.862713313095[nm]
y73 11574.567479147632[nm]
z73 468.5970869378334[nm]
theta73 -115.5599651718238[degrees]
a74 576.2853220837383[nm]
b74 300.17088154246966[nm]
c74 438.228101813104[nm]
x74 5952.399984013429[nm]
y74 11947.42416370249[nm]
z74 447.228101813104[nm]
theta74 -40.97173633351486[degrees]
a75 488.8669592452944[nm]
b75 374.4863142070308[nm]
c75 444.8903242466112[nm]
x75 4657.476564062151[nm]
y75 12188.346134393489[nm]
z75 529.8903242466113[nm]
theta75 -61.49346243200763[degrees]
a76 317.1615635197287[nm]
b76 222.35895669663373[nm]
c76 269.7602601081812[nm]
x76 8463.246819338423[nm]
y76 12073.201017811705[nm]
z76 624.7602601081812[nm]
theta76 -140.3709946955357[degrees]
a77 324.584604968997[nm]
b77 216.1801871527679[nm]
c77 270.38239606088246[nm]
x77 3490.9824938737374[nm]
y77 12308.781270384148[nm]
z77 595.3823960608825[nm]
theta77 -41.18592516570965[degrees]
a78 339.00450157751914[nm]
b78 275.44968663560525[nm]
c78 343.1408103532076[nm]
x78 2614.5272327073476[nm]
y78 12446.931734806974[nm]
z78 504.1408103532076[nm]
theta78 -37.216440473534604[degrees]
a79 301.96440460414414[nm]
b79 175.11897643522258[nm]
c79 266.4263359518586[nm]
x79 2106.3406260272473[nm]
y79 12786.149968954309[nm]
z79 405.4263359518586[nm]
theta79 -5.194428907734806[degrees]
a80 256.94949745814205[nm]
b80 218.7573147471307[nm]
c80 252.63772821335252[nm]
x80 4504.872025145936[nm]
y80 13055.25370453525[nm]
z80 539.6377282133525[nm]
theta80 -42.16588898369349[degrees]
a81 264.4534299080924[nm]
b81 228.9105967895205[nm]
c81 262.0150977221915[nm]
x81 4134.133042529989[nm]
y81 13426.788859994967[nm]
z81 312.0150977221915[nm]
theta81 -47.202598161765806[degrees]
a82 434.27668098874835[nm]
b82 129.60249501030265[nm]
c82 281.9395879995255[nm]
x82 15477.434043123076[nm]
y82 13629.938395607338[nm]
z82 385.9395879995255[nm]
theta82 -77.30733445488212[degrees]
a83 234.81814374461106[nm]
b83 170.05091152630123[nm]
c83 250[nm]
x83 4803.348369188064[nm]
y83 13603.949803377285[nm]
z83 703[nm]
theta83 -44.3414568224364[degrees]
a84 336.65766520915946[nm]
b84 281.616286193843[nm]
c84 309.1369757015012[nm]
x84 2942.874346871783[nm]
y84 13825.47637084086[nm]
z84 506.1369757015012[nm]
theta84 -147.03059609653786[degrees]
a85 326.7764090534961[nm]
b85 140.34180389962012[nm]
c85 233.5591064765581[nm]
x85 5562.775591484519[nm]
y85 15478.9246598075[nm]
z85 741.5591064765581[nm]
theta85 -22.671343621980853[degrees]
*****************
total_particles 85
total_volume_ellipsoids 11936405509.684036[nm^3]
x_length_prism 14989.896513731208[nm]
y_length_prism 16128.452462256977[nm]
z_length_prism 993.8170053801184[nm]
x_position_prism 921.8142103806167[nm]
y_position_prism -322.75139339597933[nm]
volume_fraction 0.04967933886506425
