y30 395.76119777246083[nm]
z30 882.3794836290903[nm]
theta30 -176.4576388078063[degrees]
a31 133.91779034028[nm]
b31 122.49265919356021[nm]
c31 140.3424238787741[nm]
x31 895.5926809071046[nm]
y31 125.20427811754845[nm]
z31 882.3794836290903[nm]
theta31 -125.41705527646744[degrees]
a32 133.29331508368907[nm]
b32 73.29178234155992[nm]
c32 132.79726439039445[nm]
x32 1249.0590940578031[nm]
y32 718.6922821529141[nm]
z32 882.3794836290903[nm]
theta32 -69.59979060515747[degrees]
a33 154.24095482043978[nm]
b33 86.0065891021829[nm]
c33 123.80077889528006[nm]
x33 981.0207920417104[nm]
y33 790.0963225733151[nm]
z33 882.3794836290903[nm]
theta33 -23.28235621348973[degrees]
a34 155.72262733940713[nm]
b34 54.65717168233809[nm]
c34 139.37619098170882[nm]
x34 1196.834170366125[nm]
y34 932.3525316599155[nm]
z34 882.3794836290903[nm]
theta34 -124.78063476099481[degrees]
a35 149.22595072034957[nm]
b35 80.13248681809766[nm]
c35 114.67921876922361[nm]
x35 1593.300358319307[nm]
y35 972.3350646936732[nm]
z35 882.3794836290903[nm]
theta35 -92.20912759530029[degrees]
a36 211.33662673000273[nm]
b36 92.18231088813114[nm]
c36 167.804596091303[nm]
x36 590.8097600900303[nm]
y36 143.6509966409194[nm]
z36 882.3794836290903[nm]
theta36 -158.0978596407897[degrees]
a37 138.77114689312833[nm]
b37 63.593899508633214[nm]
c37 104.27973562879151[nm]
x37 1482.261022084031[nm]
y37 232.74899053139555[nm]
z37 882.3794836290903[nm]
theta37 -87.87234276751322[degrees]
a38 144.94266069682877[nm]
b38 80.51964484997842[nm]
c38 116.18187050940338[nm]
x38 1471.3678960807881[nm]
y38 459.93789484039576[nm]
z38 882.3794836290903[nm]
theta38 -21.54928447119382[degrees]
a39 220.7804984742522[nm]
b39 135.81404137092386[nm]
c39 178.29726992258804[nm]
x39 965.6452621735604[nm]
y39 481.7212358416369[nm]
z39 882.3794836290903[nm]
theta39 -3.5620086397006583[degrees]
a40 155.72262733940713[nm]
b40 54.65717168233809[nm]
c40 139.37619098170882[nm]
x40 1196.834170366125[nm]
y40 932.3525316599155[nm]
z40 882.3794836290903[nm]
theta40 -124.78063476099481[degrees]
*****************
total_particles 40
total_volume_ellipsoids 370893239.57534975[nm^3]
x_length_prism 1801.7971601415672[nm]
y_length_prism 1411.5889999306992[nm]
z_length_prism 1081.6767535516783[nm]
x_position_prism -36.46783608004786[nm]
y_position_prism -67.68563008908333[nm]
volume_fraction 0.1348147024581166
