x31 8184.764442838431[nm]
y31 4002.7779032476624[nm]
z31 381.3773071097931[nm]
theta31 -43.393997010717754[degrees]
a32 235.37003735025[nm]
b32 235.37003735025[nm]
c32 250.0[nm]
x32 4922.280418268606[nm]
y32 4006.240597314315[nm]
z32 561.675035280889[nm]
theta32 0[degrees]
a33 250[nm]
b33 250[nm]
c33 250.0[nm]
x33 4810.321130736799[nm]
y33 4499.879274159099[nm]
z33 526.841340892884[nm]
theta33 0[degrees]
a34 250[nm]
b34 250[nm]
c34 250.0[nm]
x34 4698.3618432049925[nm]
y34 4993.517951003882[nm]
z34 610.1152347916171[nm]
theta34 0[degrees]
a35 339.6632543200906[nm]
b35 274.56572749524514[nm]
c35 336.1890448742377[nm]
x35 12385.361999045803[nm]
y35 4228.098163167939[nm]
z35 565.0573451676871[nm]
theta35 -162.68106156848526[degrees]
a36 299.87954771626517[nm]
b36 232.3546756522813[nm]
c36 266.11711168427325[nm]
x36 15391.049719293995[nm]
y36 4268.730562623692[nm]
z36 579.2495242077248[nm]
theta36 -47.57914750028342[degrees]
a37 271.7439314706498[nm]
b37 213.53588901831094[nm]
c37 242.63991024448035[nm]
x37 6526.857196052877[nm]
y37 4272.132749953454[nm]
z37 697.0571425881543[nm]
theta37 -60.554571270074405[degrees]
a38 341.06422598496346[nm]
b38 235.06616931546293[nm]
c38 288.0651976502132[nm]
x38 10043.50122682661[nm]
y38 4442.475463467829[nm]
z38 556.4521807966295[nm]
theta38 -58.26648084658371[degrees]
a39 304.8496648022911[nm]
b39 183.62873821756483[nm]
c39 298.61490382687134[nm]
x39 11392.255259329488[nm]
y39 4426.728999460582[nm]
z39 386.9698848944975[nm]
theta39 -145.00797980144134[degrees]
a40 250[nm]
b40 250[nm]
c40 250.0[nm]
x40 2146.622622216738[nm]
y40 4598.051789691425[nm]
z40 675.3647129748641[nm]
theta40 0[degrees]
a41 250[nm]
b41 250[nm]
c41 250.0[nm]
x41 1663.7981947358219[nm]
y41 4752.631942363181[nm]
z41 527.6009184687514[nm]
theta41 0[degrees]
a42 250[nm]
b42 250[nm]
c42 250.0[nm]
x42 1180.9737672549056[nm]
y42 4907.212095034936[nm]
z42 324.2129796933667[nm]
theta42 0[degrees]
a43 250[nm]
b43 250[nm]
c43 250.0[nm]
x43 698.1493397739896[nm]
y43 5061.792247706692[nm]
z43 346.4105555192333[nm]
theta43 0[degrees]
a44 569.8666291859249[nm]
b44 344.5488998804582[nm]
c44 457.20776453319155[nm]
x44 13386.501772281299[nm]
y44 4693.400891140816[nm]
z44 498.8791681595945[nm]
theta44 -129.01940047523655[degrees]
a45 265.7729439556288[nm]
b45 154.88227104611764[nm]
c45 273.13743216421375[nm]
x45 7987.317743042935[nm]
y45 4397.915909366291[nm]
z45 286.86847666768057[nm]
theta45 -32.811366798068114[degrees]
a46 460.7670162157184[nm]
b46 350.4469933115904[nm]
c46 495.9085026900592[nm]
