z30 1293.437385762121[nm]
theta30 -26.10175308473619[degrees]
a31 389.3061817112673[nm]
b31 276.5170029551634[nm]
c31 332.91159233321537[nm]
x31 6192.870823579485[nm]
y31 2147.8442221749306[nm]
z31 1418.1407426113688[nm]
theta31 -28.37924308610794[degrees]
a32 328.37928873680653[nm]
b32 208.4273292742088[nm]
c32 299.77866770333486[nm]
x32 7083.751782888182[nm]
y32 2197.0457787069417[nm]
z32 1318.0078179814882[nm]
theta32 -79.17254689617461[degrees]
a33 643.3997225103581[nm]
b33 300.8785985341299[nm]
c33 472.13916052224397[nm]
x33 3848.4781950333136[nm]
y33 2335.738441348678[nm]
z33 1478.3683108003975[nm]
theta33 -22.485019869839668[degrees]
a34 128.64356373184958[nm]
b34 68.38267969886766[nm]
c34 250[nm]
x34 292.9902561652089[nm]
y34 2718.9454220597095[nm]
z34 1609.2291502781534[nm]
theta34 -87.1014232007183[degrees]
a35 216.94663890387486[nm]
b35 136.62324960205225[nm]
c35 250[nm]
x35 6896.968927271188[nm]
y35 2809.2032850732367[nm]
z35 1650.2291502781534[nm]
theta35 -36.142041236371654[degrees]
a36 283.67448724029566[nm]
b36 107.21359188754822[nm]
c36 236.566766063506[nm]
x36 131.52549856501582[nm]
y36 3003.6279343586725[nm]
z36 1418.7959163416594[nm]
theta36 -80.42967456548878[degrees]
a37 343.29858738061824[nm]
b37 211.8288871689727[nm]
c37 303.84071897861566[nm]
x37 4252.7004142708165[nm]
y37 3061.944489624095[nm]
z37 1551.069869256769[nm]
theta37 -40.112990165078486[degrees]
a38 417.56874169972224[nm]
b38 369.18285565577827[nm]
c38 430.6167177043855[nm]
x38 4771.384185568689[nm]
y38 3360.1657489711165[nm]
z38 1497.845867982539[nm]
theta38 -47.79270236571329[degrees]
a39 179.90015210702148[nm]
b39 113.7311561075141[nm]
c39 250[nm]
x39 3393.588053695931[nm]
y39 3315.9752332720527[nm]
z39 1486.2291502781534[nm]
theta39 -66.80140948635182[degrees]
a40 215.0145886603221[nm]
b40 215.0145886603221[nm]
c40 250.0[nm]
x40 4079.141386259477[nm]
y40 8053.296453752646[nm]
z40 1486.2291502781534[nm]
theta40 0[degrees]
a41 126.22147219676737[nm]
b41 126.22147219676737[nm]
c41 250.0[nm]
x41 3722.842173661051[nm]
y41 7639.910626980992[nm]
z41 1366.2291502781534[nm]
theta41 0[degrees]
a42 250[nm]
b42 250[nm]
c42 250.0[nm]
x42 3366.542961062626[nm]
y42 7226.5248002093385[nm]
z42 1619.2291502781534[nm]
theta42 0[degrees]
a43 250[nm]
b43 250[nm]
c43 250.0[nm]
x43 3010.2437484642[nm]
y43 6813.138973437684[nm]
z43 1667.2291502781534[nm]
theta43 0[degrees]
a44 230.68617360698[nm]
b44 230.68617360698[nm]
c44 250.0[nm]
x44 2653.944535865775[nm]
y44 6399.75314666603[nm]
z44 1470.2291502781534[nm]
theta44 0[degrees]
a45 167.50800314570714[nm]
b45 123.95324009000919[nm]
c45 250[nm]
x45 1970.2698008337193[nm]
y45 3538.993747105141[nm]
z45 1251.2291502781534[nm]
theta45 -70.07441934181567[degrees]
a46 321.35487632508875[nm]
b46 243.21979424326597[nm]
c46 282.28733528417735[nm]
x46 5887.996854375504[nm]
y46 3781.1949391281846[nm]
z46 1578.5164855623307[nm]
theta46 -139.9697407281103[degrees]
